family,N,mult,beta,openness_mean,openness_sem,frac_half_open_mean,heldout_ll_mean,heldout_ll_sem,n
latent,5,1,0.0003,3.52551,0.20356,0.75000,0.71695,0.00133,4
update_net_obs,10,1,0.0003,3.33654,0.34320,0.37500,0.71695,0.00133,4
update_net_latent,25,1,0.0003,3.11345,0.20024,0.15000,0.71695,0.00133,4
update_net_subj,20,1,0.0003,1.85066,0.15421,0.08750,0.71695,0.00133,4
choice_net_latent,5,1,0.0003,0.98824,0.00340,0.20000,0.71695,0.00133,4
choice_net_subj,4,1,0.0003,0.00790,0.00392,0.00000,0.71695,0.00133,4
latent,5,1,0.001,3.03297,0.16234,0.60000,0.71533,0.00247,3
update_net_obs,10,1,0.001,2.14946,0.03133,0.23333,0.71533,0.00247,3
update_net_latent,25,1,0.001,1.59460,0.16271,0.08000,0.71533,0.00247,3
update_net_subj,20,1,0.001,0.51913,0.02309,0.00000,0.71533,0.00247,3
choice_net_latent,5,1,0.001,0.96066,0.00192,0.20000,0.71533,0.00247,3
choice_net_subj,4,1,0.001,0.00200,0.00131,0.00000,0.71533,0.00247,3
latent,5,1,0.003,0.92690,0.00608,0.20000,0.70962,0.00137,4
update_net_obs,10,1,0.003,1.51159,0.01681,0.20000,0.70962,0.00137,4
update_net_latent,25,1,0.003,0.00332,0.00085,0.00000,0.70962,0.00137,4
update_net_subj,20,1,0.003,0.14066,0.13828,0.01250,0.70962,0.00137,4
choice_net_latent,5,1,0.003,0.92675,0.00038,0.20000,0.70962,0.00137,4
choice_net_subj,4,1,0.003,0.00188,0.00074,0.00000,0.70962,0.00137,4
latent,5,2,0.0003,2.82615,0.32244,0.60000,0.71596,0.00075,4
update_net_obs,10,2,0.0003,3.38555,0.40798,0.40000,0.71596,0.00075,4
update_net_latent,25,2,0.0003,1.16120,0.31852,0.06000,0.71596,0.00075,4
update_net_subj,20,2,0.0003,2.41634,0.13748,0.12500,0.71596,0.00075,4
choice_net_latent,5,2,0.0003,1.42991,0.25431,0.30000,0.71596,0.00075,4
choice_net_subj,4,2,0.0003,0.00643,0.00227,0.00000,0.71596,0.00075,4
latent,5,2,0.001,2.39692,0.27002,0.50000,0.71634,0.00064,4
update_net_obs,10,2,0.001,2.19111,0.01094,0.30000,0.71634,0.00064,4
update_net_latent,25,2,0.001,0.80801,0.20738,0.02000,0.71634,0.00064,4
update_net_subj,20,2,0.001,0.67638,0.09418,0.02500,0.71634,0.00064,4
choice_net_latent,5,2,0.001,0.96179,0.00141,0.20000,0.71634,0.00064,4
choice_net_subj,4,2,0.001,0.00140,0.00014,0.00000,0.71634,0.00064,4
latent,5,2,0.003,0.93058,0.00527,0.20000,0.70931,0.00098,4
update_net_obs,10,2,0.003,1.50287,0.01110,0.20000,0.70931,0.00098,4
update_net_latent,25,2,0.003,0.00275,0.00019,0.00000,0.70931,0.00098,4
update_net_subj,20,2,0.003,0.14969,0.14802,0.01250,0.70931,0.00098,4
choice_net_latent,5,2,0.003,0.92948,0.00166,0.20000,0.70931,0.00098,4
