n_subjects,emb_dim,cca_r_mean,cca_r_top,cca_r_all,r2_biasL,r2_learn_rate,r2_softmax_temp,r2_r2_mean,run,subj,hid,emb,lik_rel
50,2,0.8250708243144182,0.8508883356647182,"[0.8508883356647182, 0.7992533129641184]",0.5637496022680328,0.1111992966879396,0.6132438044733232,0.4293975678097652,zzgyn4o5,50,16,2,0.9975341863547654
100,2,0.8141748712735349,0.8692738861588912,"[0.8692738861588912, 0.7590758563881786]",0.14396932385741,0.5077383575710366,0.6542922386751104,0.4353333067011857,08aad5nf,100,16,2,0.997021101074997
200,2,0.7711681531334721,0.9100487999750788,"[0.9100487999750788, 0.6322875062918654]",0.1952587533106017,0.6927184999387244,0.3564575526025773,0.4148116019506345,d3upkqsf,200,16,2,0.9973284341353674
300,2,0.7939906027414995,0.917679186490958,"[0.917679186490958, 0.6703020189920409]",0.3472099411811506,0.5040414053072273,0.4790912218438711,0.4434475227774164,iefsolqi,300,16,2,0.996770660224926
50,4,0.9593894807215878,0.9954582384155736,"[0.9954582384155736, 0.9824210598550638, 0.9002891438941262]",0.7995797999262776,0.9852836352227956,0.9328266397345044,0.9058966916278592,jtmxhiua,50,16,4,0.9986988007887908
100,4,0.9817939116804252,0.9947198468886884,"[0.9947198468886884, 0.980981635281813, 0.9696802528707735]",0.9363890644362288,0.9862972455023232,0.938914973684323,0.9538670945409584,r45xqr4g,100,16,4,0.9994422141003144
200,4,0.9812846168483071,0.9947718997854964,"[0.9947718997854965, 0.9773364554074423, 0.9717454953519831]",0.9501259906243557,0.9881450075941832,0.9417060249612556,0.9599923410599316,tv94rwy7,200,16,4,0.9995703692226954
300,4,0.9744149888126236,0.9950531946593848,"[0.9950531946593849, 0.9737709332152772, 0.9544208385632083]",0.9097677718633072,0.9897612820816132,0.9444927853782809,0.9480072797744004,ltiephap,300,16,4,0.9996689982383676
50,2,0.8724813801132755,0.9476744735250524,"[0.9476744735250525, 0.7972882867014984]",0.8745646819090032,-0.0715303057308469,0.5618546012577206,0.4549629924786256,53l6ye07,50,64,2,0.9909414436846388
100,2,0.8570926089821777,0.9622633786441956,"[0.9622633786441955, 0.7519218393201598]",0.9063315515310644,-0.0247595850953015,0.5611715591845474,0.4809145085401035,cjkae73o,100,64,2,0.9861735261610346
200,2,0.8357449415808023,0.9438250177499,"[0.9438250177499001, 0.7276648654117044]",0.5326487516540921,0.4516341532374054,0.5204794949652622,0.5015874666189198,w10c0syz,200,64,2,0.993852421943966
300,2,0.8127809297202362,0.9419117048948308,"[0.9419117048948309, 0.6836501545456414]",0.8673586151985027,0.0005898579178561,0.4630270738492732,0.4436585156552106,dyt8p8i9,300,64,2,0.9961458867235516
50,4,0.973678285541678,0.9909948373699776,"[0.9909948373699776, 0.9711442902036937, 0.9588957290513623]",0.9319442628069984,0.9727790128274888,0.8889821689078131,0.9312351481807668,shz1xgeg,50,64,4,0.9821251823383268
100,4,0.967370460214243,0.9892383184772756,"[0.9892383184772757, 0.9718288584716417, 0.9410442036938117]",0.920921070165466,0.9674575837823356,0.9108106029277804,0.933063085625194,nqfmwmy4,100,64,4,0.9827981863042444
200,4,0.9739465631745264,0.9930456552444178,"[0.9930456552444178, 0.974740261556405, 0.9540537727227562]",0.9486340028376634,0.9818128995278388,0.9078688719639963,0.9461052581098328,ee0jj6nl,200,64,4,0.9937148040235768
300,4,0.977062453302088,0.9938034658578908,"[0.9938034658578907, 0.9775711818819836, 0.9598127121663896]",0.9511919681366796,0.986869733872237,0.9223120606631532,0.9534579208906898,jluqyywn,300,64,4,0.9963486176262584
