subject_id,session_id,session_index,subject_max_session_index,session_phase,embedding_1,embedding_2,embedding_3,embedding_4
synth000,synth000_s000,1,40,0.025,0.03776665574932289,0.5696520208842338,-0.6162428153179123,-0.08144775883178033
synth000,synth000_s001,2,40,0.05,0.04044052352907024,0.5563919432180973,-0.5914483518521352,-0.08036972130374803
synth000,synth000_s002,3,40,0.075,0.04311439130881754,0.5431318655519608,-0.5666538883863581,-0.07929168377571572
synth000,synth000_s003,4,40,0.1,0.04578825908856489,0.5298717878858242,-0.541859424920581,-0.07821364624768343
synth000,synth000_s004,5,40,0.125,0.04846212686831222,0.5166117102196877,-0.517064961454804,-0.07713560871965111
synth000,synth000_s005,6,40,0.15,0.05113599464805954,0.5033516325535512,-0.4922704979890269,-0.07605757119161881
synth000,synth000_s006,7,40,0.175,0.05380986242780689,0.4900915548874145,-0.4674760345232498,-0.0749795336635865
synth000,synth000_s007,8,40,0.2,0.056483730207554234,0.47683147722127806,-0.44268157105747263,-0.0739014961355542
synth000,synth000_s008,9,40,0.225,0.05945707984527271,0.46276372176527375,-0.41626826818956975,-0.07276746465493895
synth000,synth000_s009,10,40,0.25,0.06272594870728687,0.44775960641739887,-0.3880434415840035,-0.0715190874679744
synth000,synth000_s010,11,40,0.275,0.06630912636070976,0.43132546334356403,-0.35730406886754085,-0.0701883355169029
synth000,synth000_s011,12,40,0.3,0.06959395332134588,0.416419397585187,-0.3292704962488563,-0.06890327407327011
synth000,synth000_s012,13,40,0.325,0.0741679550867618,0.3959173369257941,-0.29061690000083873,-0.0669884789820921
synth000,synth000_s013,14,40,0.35,0.07946793732093313,0.37053523525340115,-0.24238080450113975,-0.06437787565884237
synth000,synth000_s014,15,40,0.375,0.08544183177474804,0.33763445758481775,-0.17852838910678842,-0.060973317200454694
synth000,synth000_s015,16,40,0.4,0.09061796009682643,0.3092655644002211,-0.12357845501258091,-0.058035980522895325
synth000,synth000_s016,17,40,0.425,0.09516681047050005,0.28575566229151966,-0.07811554398419962,-0.05563223668428485
synth000,synth000_s017,18,40,0.45,0.09943005828053933,0.2637272896647765,-0.03543727698659588,-0.053373731273705
synth000,synth000_s018,19,40,0.475,0.10258938802409805,0.24742536129800705,-0.0035222847130555457,-0.051676605013963345
synth000,synth000_s019,20,40,0.5,0.10555250519318546,0.23185182416257022,0.026804225963020845,-0.049708873773169626
synth000,synth000_s020,21,40,0.525,0.10869743707976744,0.21471178472708438,0.05974787987677971,-0.047108602441365464
synth000,synth000_s021,22,40,0.55,0.11217577011011601,0.19558016664346317,0.09581453264868536,-0.045094756710375265
synth000,synth000_s022,23,40,0.575,0.11573840279049073,0.1761282219609375,0.13251851416654883,-0.04315820828797041
synth000,synth000_s023,24,40,0.6,0.11930103547086544,0.1566762772784117,0.1692224956844125,-0.041221659865565544
synth000,synth000_s024,25,40,0.625,0.1228636681512402,0.1372243325958859,0.2059264772022761,-0.03928511144316068
synth000,synth000_s025,26,40,0.65,0.1265999171926983,0.11672358760388071,0.24467299354936528,-0.037123277541556254
synth000,synth000_s026,27,40,0.675,0.13039024748133632,0.09589614282145609,0.28405575656286086,-0.034891267536670954
synth000,synth000_s027,28,40,0.7,0.1341805777699743,0.0750686980390316,0.32343851957635616,-0.032659257531785675
synth000,synth000_s028,29,40,0.725,0.1379709080586123,0.054241253256606975,0.3628212825898518,-0.030427247526900375
synth000,synth000_s029,30,40,0.75,0.1416252121007256,0.033246102187849125,0.4021448857194756,-0.02824764626463134
synth000,synth000_s030,31,40,0.775,0.14542341688790975,0.012798639819861818,0.4398479117569233,-0.02615393982629028
synth000,synth000_s031,32,40,0.8,0.14922391031554189,-0.007643639304472177,0.47754119804711004,-0.02406025305391754
synth000,synth000_s032,33,40,0.825,0.153024403743174,-0.028085918428806145,0.5152344843372966,-0.021966566281544815
synth000,synth000_s033,34,40,0.85,0.15651973473832953,-0.046561344413151795,0.5491201094407503,-0.0200811496953058
synth000,synth000_s034,35,40,0.875,0.1598469951638662,-0.0639535108202568,0.5809086356995792,-0.018310439524709184
synth000,synth000_s035,36,40,0.9,0.16317425558940293,-0.08134567722736175,0.6126971619584083,-0.016539729354112576
synth000,synth000_s036,37,40,0.925,0.16630179338443185,-0.09751693752095414,0.6423547691115717,-0.014851915149447538
synth000,synth000_s037,38,40,0.95,0.16905645597909819,-0.11140880859088936,0.6680340244552216,-0.013318864828211263
synth000,synth000_s038,39,40,0.975,0.1718111185737645,-0.12530067966082442,0.6937132797988715,-0.011785814506975002
synth000,synth000_s039,40,40,1.0,0.17456578116843083,-0.13919255073075965,0.7193925351425215,-0.010252764185738727
synth028,synth028_s000,1,40,0.025,0.031662939632387505,0.5746897708279737,-0.6211957347285813,-0.07606151583177545
synth028,synth028_s001,2,40,0.05,0.03433680741213482,0.5614296931618371,-0.5964012712628043,-0.07498347830374315
synth028,synth028_s002,3,40,0.075,0.03701067519188217,0.5481696154957005,-0.5716068077970271,-0.07390544077571085
synth028,synth028_s003,4,40,0.1,0.039684542971629516,0.534909537829564,-0.5468123443312501,-0.07282740324767853
synth028,synth028_s004,5,40,0.125,0.042358410751376835,0.5216494601634274,-0.5220178808654732,-0.07174936571964624
