num_subjects,model,wandb_run_id,r2_biasL,r2_learn_rate,r2_softmax_temp,r2_mean,r2_softmax_temp_raw,softmax_spearman,softmax_winsor_threshold
50,baseline_rl,f787vi1g,0.8542185767072118,0.8580937684498905,0.6981072250213434,0.8034731900594819,-0.85935692136145,0.8931941683280685,20.0
50,gru_session_blind,nr28qypv,0.6020548277280403,0.8494706676640436,0.8203880446394786,0.7573045133438542,,,
50,gru_session_conditioned,nr28qypv,0.698350922640723,0.9585619169905224,0.8697812757126108,0.8422313717812854,,,
100,baseline_rl,uooa8w1k,0.8610710046637688,0.8687937525424545,0.7601394333327939,0.8300013968463391,-0.6588880611042416,0.9288459174819736,20.0
100,gru_session_blind,eu9740c1,0.7506060577855589,0.8573077121989239,0.8475319664990062,0.818481912161163,,,
100,gru_session_conditioned,eu9740c1,0.724777981094999,0.9673655125233808,0.906838177971132,0.8663272238631706,,,
200,baseline_rl,0l8d5rq9,0.8609277919260631,0.8664244280765767,0.7191822613147053,0.8155114937724485,-1.4621255498720205,0.921554054197226,20.0
200,gru_session_blind,vldd2pxy,0.8190078149366524,0.8666990101527119,0.8605356085335828,0.8487474778743157,,,
200,gru_session_conditioned,vldd2pxy,0.815106222382298,0.977714987201249,0.9253231488118898,0.9060481194651456,,,
300,baseline_rl,col8bdj9,0.8610386263541759,0.8640387450376155,0.7520705540074542,0.8257159751330819,-0.0677372602563053,0.9292569293905169,20.0
300,gru_session_blind,9yiueqgp,0.7591112098774788,0.8679596949566832,0.8453762370266047,0.8241490472869222,,,
300,gru_session_conditioned,9yiueqgp,0.7231965693832535,0.9885645697689366,0.910133212987178,0.8739647840464561,,,
