subject_id,true_family,selected_baseline
synth000,QLearning,CompareToThreshold
synth001,CompareToThreshold,CompareToThreshold
synth002,LossCounting,LossCounting
synth003,QLearning,CompareToThreshold
synth004,CompareToThreshold,CompareToThreshold
synth005,LossCounting,LossCounting
synth006,QLearning,CompareToThreshold
synth007,CompareToThreshold,CompareToThreshold
synth008,LossCounting,LossCounting
synth009,QLearning,CompareToThreshold
synth010,CompareToThreshold,CompareToThreshold
synth011,LossCounting,QLearning
synth012,QLearning,QLearning
synth013,CompareToThreshold,LossCounting
synth014,LossCounting,QLearning
synth015,QLearning,QLearning
synth016,CompareToThreshold,CompareToThreshold
synth017,LossCounting,LossCounting
synth018,QLearning,CompareToThreshold
synth019,CompareToThreshold,CompareToThreshold
synth020,LossCounting,LossCounting
synth021,QLearning,QLearning
synth022,CompareToThreshold,CompareToThreshold
synth023,LossCounting,QLearning
synth024,QLearning,CompareToThreshold
synth025,CompareToThreshold,CompareToThreshold
synth026,LossCounting,LossCounting
synth027,QLearning,CompareToThreshold
synth028,CompareToThreshold,CompareToThreshold
synth029,LossCounting,LossCounting
synth030,QLearning,QLearning
synth031,CompareToThreshold,CompareToThreshold
synth032,LossCounting,LossCounting
synth033,QLearning,CompareToThreshold
synth034,CompareToThreshold,LossCounting
synth035,LossCounting,LossCounting
synth036,QLearning,QLearning
synth037,CompareToThreshold,CompareToThreshold
synth038,LossCounting,LossCounting
synth039,QLearning,CompareToThreshold
synth040,CompareToThreshold,CompareToThreshold
synth041,LossCounting,LossCounting
synth042,QLearning,CompareToThreshold
synth043,CompareToThreshold,CompareToThreshold
synth044,LossCounting,LossCounting
synth045,QLearning,QLearning
synth046,CompareToThreshold,CompareToThreshold
synth047,LossCounting,LossCounting
synth048,QLearning,QLearning
synth049,CompareToThreshold,LossCounting
synth050,LossCounting,LossCounting
synth051,QLearning,QLearning
synth052,CompareToThreshold,CompareToThreshold
synth053,LossCounting,QLearning
synth054,QLearning,QLearning
synth055,CompareToThreshold,CompareToThreshold
synth056,LossCounting,QLearning
synth057,QLearning,QLearning
synth058,CompareToThreshold,CompareToThreshold
synth059,LossCounting,QLearning
synth060,QLearning,CompareToThreshold
synth061,CompareToThreshold,CompareToThreshold
synth062,LossCounting,QLearning
synth063,QLearning,QLearning
synth064,CompareToThreshold,CompareToThreshold
synth065,LossCounting,LossCounting
synth066,QLearning,QLearning
synth067,CompareToThreshold,LossCounting
synth068,LossCounting,LossCounting
synth069,QLearning,QLearning
synth070,CompareToThreshold,LossCounting
synth071,LossCounting,QLearning
synth072,QLearning,CompareToThreshold
synth073,CompareToThreshold,CompareToThreshold
synth074,LossCounting,LossCounting
synth075,QLearning,CompareToThreshold
synth076,CompareToThreshold,CompareToThreshold
synth077,LossCounting,LossCounting
synth078,QLearning,CompareToThreshold
synth079,CompareToThreshold,CompareToThreshold
synth080,LossCounting,LossCounting
synth081,QLearning,QLearning
synth082,CompareToThreshold,CompareToThreshold
synth083,LossCounting,LossCounting
synth084,QLearning,QLearning
synth085,CompareToThreshold,CompareToThreshold
synth086,LossCounting,LossCounting
synth087,QLearning,QLearning
synth088,CompareToThreshold,QLearning
synth089,LossCounting,LossCounting
synth090,QLearning,QLearning
synth091,CompareToThreshold,CompareToThreshold
synth092,LossCounting,LossCounting
synth093,QLearning,CompareToThreshold
synth094,CompareToThreshold,CompareToThreshold
synth095,LossCounting,LossCounting
synth096,QLearning,QLearning
synth097,CompareToThreshold,CompareToThreshold
synth098,LossCounting,LossCounting
synth099,QLearning,QLearning
synth100,CompareToThreshold,CompareToThreshold
synth101,LossCounting,LossCounting
synth102,QLearning,CompareToThreshold
synth103,CompareToThreshold,CompareToThreshold
synth104,LossCounting,LossCounting
synth105,QLearning,CompareToThreshold
synth106,CompareToThreshold,CompareToThreshold
synth107,LossCounting,LossCounting
synth108,QLearning,QLearning
synth109,CompareToThreshold,CompareToThreshold
synth110,LossCounting,LossCounting
synth111,QLearning,QLearning
synth112,CompareToThreshold,CompareToThreshold
synth113,LossCounting,LossCounting
synth114,QLearning,QLearning
synth115,CompareToThreshold,LossCounting
synth116,LossCounting,LossCounting
synth117,QLearning,CompareToThreshold
synth118,CompareToThreshold,CompareToThreshold
