true_family,cond,param,r2,r2_raw,spearman,n_winsorized,n_session_rows,wandb_run_id
QLearning,baseline_rl,biasL,0.7504154770485689,0.7504154770485689,0.894471112394623,0,2680,2v4js1ld
QLearning,baseline_rl,learn_rate,-1.7632248509718549,-1.7554712842769837,0.48943032401060477,560,2680,2v4js1ld
QLearning,baseline_rl,softmax_inverse_temperature,0.052697714175021115,-4.743109305912037,0.5349096148057805,120,2680,2v4js1ld
CompareToThreshold,baseline_rl,biasL,0.7756281512101704,0.7756281512101704,0.905100964944412,0,2680,c03mqwwl
CompareToThreshold,baseline_rl,learn_rate,0.27256324679436394,0.28047222061441324,0.7306784732271817,320,2680,c03mqwwl
CompareToThreshold,baseline_rl,softmax_inverse_temperature,0.51479562522906,0.51479562522906,0.7478622909471444,0,2680,c03mqwwl
CompareToThreshold,baseline_rl,threshold,0.848194,0.848194,0.930456,0,2680,c03mqwwl
LossCounting,baseline_rl,biasL,0.742294346089461,0.742294346089461,0.8903088746965625,0,2640,qdgoftly
LossCounting,baseline_rl,loss_count_threshold_mean,0.8190226632532771,0.769561933863774,0.9119595323029442,560,2640,qdgoftly
QLearning,gru_session_blind,biasL,0.673355659732299,0.673355659732299,,0,2680,1xeoeclu
QLearning,gru_session_blind,learn_rate,0.5075510453101462,0.5075510453101462,,0,2680,1xeoeclu
QLearning,gru_session_blind,softmax_inverse_temperature,0.41833208586350024,0.41833208586350024,,0,2680,1xeoeclu
CompareToThreshold,gru_session_blind,biasL,0.7244691780697621,0.7244691780697621,,0,2680,1xeoeclu
CompareToThreshold,gru_session_blind,learn_rate,-1.1559375446743267,-1.1559375446743267,,0,2680,1xeoeclu
CompareToThreshold,gru_session_blind,softmax_inverse_temperature,-0.035471200611450815,-0.035471200611450815,,0,2680,1xeoeclu
CompareToThreshold,gru_session_blind,threshold,0.792475,0.792475,,0,2680,1xeoeclu
LossCounting,gru_session_blind,biasL,0.7483755447275073,0.7483755447275073,,0,2640,1xeoeclu
LossCounting,gru_session_blind,loss_count_threshold_mean,0.8565574450936123,0.8565574450936123,,0,2640,1xeoeclu
QLearning,gru_session_conditioned,biasL,0.5538607953331427,0.5538607953331427,,0,2680,mw1fhzt9
QLearning,gru_session_conditioned,learn_rate,0.8844156819174173,0.8844156819174173,,0,2680,mw1fhzt9
QLearning,gru_session_conditioned,softmax_inverse_temperature,0.7456886244713369,0.7456886244713369,,0,2680,mw1fhzt9
CompareToThreshold,gru_session_conditioned,biasL,0.25459184555837244,0.25459184555837244,,0,2680,mw1fhzt9
CompareToThreshold,gru_session_conditioned,learn_rate,0.6645929356659859,0.6645929356659859,,0,2680,mw1fhzt9
CompareToThreshold,gru_session_conditioned,softmax_inverse_temperature,-1.847005374027174,-1.847005374027174,,0,2680,mw1fhzt9
CompareToThreshold,gru_session_conditioned,threshold,0.826956,0.826956,,0,2680,mw1fhzt9
LossCounting,gru_session_conditioned,biasL,0.7558243858887386,0.7558243858887386,,0,2640,mw1fhzt9
LossCounting,gru_session_conditioned,loss_count_threshold_mean,0.9262274497603459,0.9262274497603459,,0,2640,mw1fhzt9
